text,intent,label_id
can you tell me if there are limits to disposable virtual cards?,disposable_card_limits,17
can apple pay handle top up exchanges?,apple_pay_or_google_pay,2
where can i find the auto-top up option?,automatic_top_up,3
"this is urgent, i typed the wrong payment information for a payment i needed to make and have clicked send, i need to reverse the transaction immediately.",cancel_transfer,5
why isn't my google top-up pay working?,apple_pay_or_google_pay,2
what's the reason my new card hasn't come?,card_arrival,7
"i topped up and went to buy something, but it says that my funds are pending. is there a way to quicken this process?",pending_top_up,28
can i freeze my card right now?,compromised_card,13
"a transfer i sent was received in less than the full amount i originally sent, and now i have to send additional funds to cover the full amount. what happened?",transfer_fee_charged,39
i am from x but am traveling to y - how do i get currency for y?,exchange_via_app,19
i got charged twice for the same payment. please removed the pending payment. thank you.,transaction_charged_twice,38
please explain how i use the disposable cards?,get_disposable_virtual_card,22
i requested a refund from next because the dress i purchased had three arm holes. they said they sent the refund last wednesday which is nearly a week ago and i still don't have it. why not?,Refund_not_showing_up,0
i think i was charged a different exchange rate than what was posted at the time.,wrong_exchange_rate_for_cash_withdrawal,44
what steps do i take to unblock my pin?,pin_blocked,29
what is the most money i can top up?,top_up_limits,35
my beneficiary didn't receive my transfer,beneficiary_not_allowed,4
"when i went to 100, all the machine would give me was 20.",wrong_amount_of_cash_received,43
i accidentally made a payment to a wrong account. what should i do?,cancel_transfer,5
the atm wouldn't let me withdraw cash.,declined_cash_withdrawal,16
"for adding money, which currencies do you accept?",supported_cards_and_currencies,31
what's the minimum age for opening an account?,age_limit,1
can i change or hold different currency?,fiat_currency_support,21
show me how to change my pin?,change_pin,12
"your service is terrible,. delete my account,",terminate_account,32
why am i unable to withdraw my money through this card?,declined_cash_withdrawal,16
i made a cash withdrawal at an atm but it still says pending in my account.,pending_cash_withdrawal,27
"i made a transfer and the receiver said an amount was received, but less than the right amount. i now have to transfer more to get the remainder to the receiver. can you tell me about this. what's been going on?",transfer_fee_charged,39
what other credit cards can i use?,supported_cards_and_currencies,31
"my account shows i have been charged twice for the same meal. how do i get the second payment voided and returned to me? i do not eat out much and my family is living paycheck to paycheck, mostly. i cannot afford to spend more money than necessary, as is, so i must see to it that the cost be promptly credited back onto my card.",transaction_charged_twice,38
what do i do if the atm didn't give me the correct amount i withdrew? i pulled out 30 pounds and the atm gave me 10 pounds.,wrong_amount_of_cash_received,43
what should i do if i think someone stole my details and used my information to make some transactions?,compromised_card,13
how can i add money automatically?,automatic_top_up,3
why did my top up get reverted?,top_up_reverted,36
my refund is still pending,Refund_not_showing_up,0
"hearing back from us regarding your important verification results may take 10 minutes to one hour time. if verification results do fail, double-check to make sure all of your images are clear -- make sure your photos have no glare or blurring. note these photos need to be readable as well. you also need to be 18 years of age or older. you must be a resident of switzerland or the european economic area to open a new account.",unable_to_verify_identity,41
"i am a new customer, and i happened to look at my app and there is a charge i am not familiar with. could you tell me why the extra charge is there?",extra_charge_on_statement,20
how long will delivery to the us take?,card_delivery_estimate,8
"i got my american express in apple pay, why is top up not working on my device?",apple_pay_or_google_pay,2
i'm upset because i got charged a ridiculous fee when making an atm withdrawal over a holiday weekend. it didn't notify me beforehand either or i wouldn't have ever done it.,wrong_exchange_rate_for_cash_withdrawal,44
why isn't my top-up going through?,pending_top_up,28
"i made an international purchase, but the exchange rate was wrong",card_payment_wrong_exchange_rate,10
there is a cash withdrawal on my statement that i did not make,cash_withdrawal_not_recognised,11
why don't you accept american express for adding money to my account,supported_cards_and_currencies,31
do i need to go to a physical bank to change my pin?,change_pin,12
why do i have a transaction showing up more than once?,transaction_charged_twice,38
why do you keep declining my payment?i tried several times with this card and it is just not working.,declined_card_payment,15
how do i initiated a bank transfer to top up?,transfer_into_account,40
i keep checking my statements but nothing shows up.i requested a refund a long time ago but seems like it's not submitting my account for some reason. can you please help me get the money back from the seller for me,Refund_not_showing_up,0
is there a reason my payments are pending?,pending_card_payment,26
what steps do i do to get a real card,order_physical_card,24
can i open an account for a child?,age_limit,1
i just initiated a transfer but i'd like to cancel it.,cancel_transfer,5
"if my cash withdrawal is still not showing, is something wrong?",pending_cash_withdrawal,27
why can't i see my top up?,topping_up_by_card,37
can i have it delivered on a specific date?,card_delivery_estimate,8
"hey, i tried to withdraw some cash earlier and it's saying it's pending? will i be charged for this?",pending_cash_withdrawal,27
when will my card payment be done pending?,pending_card_payment,26
what is the exchange rate for foreign atms,wrong_exchange_rate_for_cash_withdrawal,44
where are my funds? i topped off my car but it didn't seem to complete.,pending_top_up,28
i need my card to be delivered fast,card_delivery_estimate,8
why was a extra fee added to my account for transfer ?,transfer_fee_charged,39
how long does it take for something to be delivered to the u.s?,card_delivery_estimate,8
how do i add money from my amex card to top up,supported_cards_and_currencies,31
i tried to get funds in hard cash but it was rejected!,declined_cash_withdrawal,16
why is my beneficiary being denies?,beneficiary_not_allowed,4
what can you do to unblock my pin?,pin_blocked,29
how do i change the details in my account?,edit_personal_details,18
help me create several temp cards every day.,disposable_card_limits,17
how do i get a new expiration date?,card_about_to_expire,6
how do i reset my pin?,pin_blocked,29
i have a new card. how do i top it up?,topping_up_by_card,37
"how do i freeze my bank card, as there has been a strange withdrawal?",cash_withdrawal_not_recognised,11
"there is a pending payment on my account, what does this mean?",pending_card_payment,26
i tried using my atm card at your notting hill location today. it did not work. am i doing something wrong?,declined_cash_withdrawal,16
please help me with my card. as i have tried to use my card in two different atms but repeatedly it was declining by atm.,declined_cash_withdrawal,16
while on vacation i used an atm to get cash and was overcharged. these charges are ridiculous and had i known about them i would have never used it.,wrong_exchange_rate_for_cash_withdrawal,44
how can i lookup the source for my available money?,verify_source_of_funds,42
i broke my card,card_not_working,9
i'm at the atm right now and it only allowed me to withdraw 10 pounds instead of my requested 30. what's going on? how can i fix this?,wrong_amount_of_cash_received,43
"when considering currency holdings and exchanges, what fiat currencies are supported?",fiat_currency_support,21
would i be able to top up as much as i can?,top_up_limits,35
can i send a cheque to do my top ups?,top_up_by_cash_or_cheque,33
does this app allow currencies to be exchanged?,exchange_via_app,19
is it possible for me to set up separate accounts for my kids?,age_limit,1
can i find the origination of my funds?,verify_source_of_funds,42
my card doesn't work when i use it.,card_not_working,9
